Name,First_Name,Party
Abdi,Sanae,SPD
Akbulut,Gökay,Die Linke
Abel,Valentin,FDP
Al-Dailami,Ali,Die Linke
Abraham,Knut,CDU/CSU
Al-Halak,Muhanad,FDP
Adler,Katja,FDP
Alabali-Radovan,Reem,SPD
Aeffner,Stephanie,Bündnis 90/Die Grünen
Albani,Stephan,CDU/CSU
Ahmetovic,Adis,SPD
Alt,Renata,FDP
Abdi,Sanae,SPD
Abel,Valentin,FDP
Abraham,Knut,CDU/CSU
Adler,Katja,FDP
Aeffner,Stephanie,Bündnis 90/Die Grünen
Ahmetovic,Adis,SPD
Akbulut,Gökay,Die Linke
Al-Dailami,Ali,Die Linke
Al-Halak,Muhanad,FDP
Alabali-Radovan,Reem,SPD
Albani,Stephan,CDU/CSU
Alt,Renata,FDP
Altenkamp,Norbert,CDU/CSU
Altmaier,Peter,CDU/CSU
Amthor,Philipp,CDU/CSU
Amtsberg,Luise,Bündnis 90/Die Grünen
Andres,Dagmar,SPD
Annen,Niels,SPD
Arlt,Johannes,SPD
Aschenberg-Dugnus,Christine,FDP
Audretsch,Andreas,Bündnis 90/Die Grünen
Auernhammer,Artur,CDU/CSU
Aumer,Peter,CDU/CSU
Außendorf,Maik,Bündnis 90/Die Grünen
Bacherle,Tobias,Bündnis 90/Die Grünen
Bachmann,Carolin,AfD
Badum,Lisa,Bündnis 90/Die Grünen
Baehrens,Heike,SPD
Bär,Dorothee,CDU/CSU
Bär,Karl,Bündnis 90/Die Grünen
Baerbock,Annalena,Bündnis 90/Die Grünen
Bahr,Ulrike,SPD
Baldy,Daniel,SPD
Banaszak,Felix,Bündnis 90/Die Grünen
Baradari,Nezahat,SPD
Bareiß,Thomas,CDU/CSU
Bartol,Sören,SPD
Bartsch,Dietmar,Die Linke
Bas,Bärbel,SPD
Bauer,Nicole,FDP
Baum,Christina,AfD
Baumann,Bernd,AfD
Bayram,Canan,Bündnis 90/Die Grünen
Beck,Katharina,Bündnis 90/Die Grünen
Beckamp,Roger,AfD
Becker,Holger,SPD
Beeck,Jens,FDP
Benner,Lukas,Bündnis 90/Die Grünen
Berghahn,Jürgen,SPD
Berghegger,André,CDU/CSU
Bergt,Bengt,SPD
Bernhard,Marc,AfD
Beyer,Peter,CDU/CSU
Biadacz,Marc,CDU/CSU
Bilger,Steffen,CDU/CSU
Birkwald,Matthias W.,Die Linke
Blankenburg,Jakob,SPD
Bleck,Andreas,AfD
Bochmann,René,AfD
Bodtke,Ingo,FDP
Boehringer,Peter,AfD
Boginski,Friedhelm,FDP
Bollmann,Gereon,AfD
Borchardt,Simone,CDU/CSU
Brand ,Michael,CDU/CSU
Brandenburg ,Jens,FDP
Brandenburg ,Mario,FDP
Brandes,Dirk,AfD
Brandl,Reinhard,CDU/CSU
Brandner,Stephan,AfD
Brantner,Franziska,Bündnis 90/Die Grünen
Braun,Helge,CDU/CSU
Braun,Jürgen,AfD
Breher,Silvia,CDU/CSU
Brehm,Sebastian,CDU/CSU
Brehmer,Heike,CDU/CSU
Breilmann,Michael,CDU/CSU
Breymaier,Leni,SPD
Brinkhaus,Ralph,CDU/CSU
Brodesser,Carsten,CDU/CSU
Bröhr,Marlon,CDU/CSU
Brugger,Agnieszka,Bündnis 90/Die Grünen
Bsirske,Frank,Bündnis 90/Die Grünen
Bubendorfer-Licht,Sandra,FDP
Budde,Katrin,SPD
Bühl,Marcus,AfD
Bury,Yannick,CDU/CSU
Buschmann,Marco,FDP
Busen,Karlheinz,FDP
Bystron,Petr,AfD
Cademartori Dujisin,Isabel,SPD
Castellucci,Lars,SPD
Christmann,Anna,Bündnis 90/Die Grünen
Chrupalla,Tino,AfD
Connemann,Gitta,CDU/CSU
Coße,Jürgen,SPD
Cotar,Joana,AfD
Cronenberg,Carl-Julius,FDP
Curio,Gottfried,AfD
Czaja,Mario,CDU/CSU
Dahmen,Janosch,Bündnis 90/Die Grünen
Daldrup,Bernhard,SPD
Damerow,Astrid,CDU/CSU
Dağdelen,Sevim,Die Linke
Deligöz,Ekin,Bündnis 90/Die Grünen
Demir,Hakan,SPD
Detzer,Sandra,Bündnis 90/Die Grünen
Diaby,Karamba,SPD
Diedenhofen,Martin,SPD
Dieren,Jan,SPD
Dietz,Thomas,AfD
Dilcher,Esther,SPD
Dittmar,Sabine,SPD
Djir-Sarai,Bijan,FDP
Dobrindt,Alexander,CDU/CSU
Döring,Felix,SPD
Domscheit-Berg,Anke,Die Linke
Donth,Michael,CDU/CSU
Dröge,Katharina,Bündnis 90/Die Grünen
Droßmann,Falko,SPD
Düring,Deborah,Bündnis 90/Die Grünen
Dürr,Christian,FDP
Durz,Hansjörg,CDU/CSU
Ebner,Harald,Bündnis 90/Die Grünen
Echeverria,Axel,SPD
Eckert,Leon,Bündnis 90/Die Grünen
Edelhäußer,Ralph,CDU/CSU
Ehrhorn,Thomas,AfD
Eichwede,Sonja,SPD
Emmerich,Marcel,Bündnis 90/Die Grünen
Engelhard,Alexander,CDU/CSU
Engelhardt,Heike,SPD
Englhardt-Kopf,Martina,CDU/CSU
Erndl,Thomas,CDU/CSU
Ernst,Klaus,Die Linke
Esdar,Wiebke,SPD
Esken,Saskia,SPD
Espendiller,Michael,AfD
Faber,Marcus,FDP
Färber,Hermann,CDU/CSU
Fäscher,Ariane,SPD
Fahimi,Yasmin,SPD
Farle,Robert,AfD
Fechner,Johannes,SPD
Feiler,Uwe,CDU/CSU
Felser,Peter,AfD
Ferlemann,Enak,CDU/CSU
Ferschl,Susanne,Die Linke
Fester,Emilia,Bündnis 90/Die Grünen
Fiedler,Sebastian,SPD
Föst,Daniel,FDP
Franke,Edgar,SPD
Frei,Thorsten,CDU/CSU
Fricke,Otto,FDP
Friedhoff,Dietmar,AfD
Friedrich ,Hans-Peter,CDU/CSU
Frieser,Michael,CDU/CSU
Frömming,Götz,AfD
Frohnmaier,Markus,AfD
Funke,Fabian,SPD
Funke-Kaiser,Maximilian,FDP
Gädechens,Ingo,CDU/CSU
Gambir,Schahina,Bündnis 90/Die Grünen
Ganserer,Tessa,Bündnis 90/Die Grünen
Gaßner-Herz,Martin,FDP
Gastel,Matthias,Bündnis 90/Die Grünen
Gauland,Alexander,AfD
Gava,Manuel,SPD
Gebhart,Thomas,CDU/CSU
Gehring,Kai,Bündnis 90/Die Grünen
Geissler,Jonas,CDU/CSU
Gelbhaar,Stefan,Bündnis 90/Die Grünen
Gerdes,Michael,SPD
Gerschau,Knut,FDP
Gerster,Martin,SPD
Gesenhues,Jan-Niclas,Bündnis 90/Die Grünen
Glaser,Albrecht,AfD
Glöckner,Angelika,SPD
Gnauck,Hannes,AfD
Göring-Eckardt,Katrin,Bündnis 90/Die Grünen
Görke,Christian,Die Linke
Gohlke,Nicole,Die Linke
Gottschalk,Kay,AfD
Gräßle,Ingeborg,CDU/CSU
Gramling,Fabian,CDU/CSU
Grau,Armin,Bündnis 90/Die Grünen
Gremmels,Timon,SPD
Griese,Kerstin,SPD
Gröhe,Hermann,CDU/CSU
Grötsch,Ulrich,SPD
Grosse-Brömer,Michael,CDU/CSU
Grübel,Markus,CDU/CSU
Grütters,Monika,CDU/CSU
Grützmacher,Sabine,Bündnis 90/Die Grünen
Grund,Manfred,CDU/CSU
Grundl,Erhard,Bündnis 90/Die Grünen
Grundmann,Oliver,CDU/CSU
Güler,Serap,CDU/CSU
Güntzler,Fritz,CDU/CSU
Gürpinar,Ates,Die Linke
Gutting,Olav,CDU/CSU
Gysi,Gregor,Die Linke
Haase,Christian,CDU/CSU
Habeck,Robert,Bündnis 90/Die Grünen
Hacker,Thomas,FDP
Hagedorn,Bettina,SPD
Hagl-Kehl,Rita,SPD
Hahn,André,Die Linke
Hahn,Florian,CDU/CSU
Hakverdi,Metin,SPD
Hanke,Reginald,FDP
Harder-Kühnel,Mariana Iris,AfD
Hartewig,Philipp,FDP
Hartmann,Sebastian,SPD
Harzer,Ulrike,FDP
Haßelmann,Britta,Bündnis 90/Die Grünen
Hauer,Matthias,CDU/CSU
Haug,Jochen,AfD
Heck,Stefan,CDU/CSU
Heidenblut,Dirk,SPD
Heidt,Peter,FDP
Heil ,Hubertus,SPD
Heil,Mechthild,CDU/CSU
Heiligenstadt,Frauke,SPD
Heilmann,Thomas,CDU/CSU
Heinrich,Gabriela,SPD
Heitmann,Linda,Bündnis 90/Die Grünen
Helferich,Matthias,fraktionslos
Helfrich,Mark,CDU/CSU
Helling-Plahr,Katrin,FDP
Hellmich,Wolfgang,SPD
Henneberger,Kathrin,Bündnis 90/Die Grünen
Hennig,Anke,SPD
Hennig-Wellsow,Susanne,Die Linke
Hennrich,Michael,CDU/CSU
Henrichmann,Marc,CDU/CSU
Herbrand,Markus,FDP
Herbst,Torsten,FDP
Herrmann,Bernhard,Bündnis 90/Die Grünen
Heselhaus,Nadine,SPD
Hess,Martin,AfD
Hessel,Katja,FDP
Heveling,Ansgar,CDU/CSU
Hierl,Susanne,CDU/CSU
Hilse,Karsten,AfD
Hirte,Christian,CDU/CSU
Hitschler,Thomas,SPD
Hocker,Gero Clemens,FDP
Höchst,Nicole,AfD
Höferlin,Manuel,FDP
Hönel,Bruno,Bündnis 90/Die Grünen
Hoffmann,Alexander,CDU/CSU
Hoffmann,Bettina,Bündnis 90/Die Grünen
Hoffmann,Christoph,FDP
Hofreiter,Anton,Bündnis 90/Die Grünen
Holm,Leif-Erik,AfD
Hoppenstedt,Hendrik,CDU/CSU
Hoppermann,Franziska,CDU/CSU
Hostert,Jasmina,SPD
Houben,Reinhard,FDP
Huber,Johannes,AfD
Hubertz,Verena,SPD
Hümpfer,Markus,SPD
Hüppe,Hubert,CDU/CSU
Hunko,Andrej,Die Linke
Huy,Gerrit,AfD
in der Beek,Olaf,FDP
Irlstorfer,Erich,CDU/CSU
Jacobi,Fabian,AfD
Janecek,Dieter,Bündnis 90/Die Grünen
Janich,Steffen,AfD
Janssen,Anne,CDU/CSU
Jarzombek,Thomas,CDU/CSU
Jensen-Bornhöft,Gyde,FDP
Jongen,Marc,AfD
Jung,Andreas,CDU/CSU
Jung,Christian,FDP
Jung,Ingmar,CDU/CSU
Junge,Frank,SPD
Juratovic,Josip,SPD
Jurisch,Ann-Veruschka,FDP
Kaczmarek,Oliver,SPD
Kaddor,Lamya,Bündnis 90/Die Grünen
Kaiser,Elisabeth,SPD
Kappert-Gonther,Kirsten,Bündnis 90/Die Grünen
Karaahmetoğlu,Macit,SPD
Karliczek,Anja,CDU/CSU
Kasper,Carlos,SPD
Kassautzki,Anna,SPD
Katzmarek,Gabriele,SPD
Kaufmann,Malte,AfD
Kaufmann,Michael,AfD
Keller,Rainer Johannes,SPD
Kellner,Michael,Bündnis 90/Die Grünen
Kemmer,Ronja,CDU/CSU
Kersten,Franziska,SPD
Keul,Katja,Bündnis 90/Die Grünen
Keuter,Stefan,AfD
Khan,Misbah,Bündnis 90/Die Grünen
Kiesewetter,Roderich,CDU/CSU
Kießling,Michael,CDU/CSU
Kindler,Sven-Christian,Bündnis 90/Die Grünen
Kippels,Georg,CDU/CSU
Kipping,Katja,Die Linke
Kiziltepe,Cansel,SPD
Kleebank,Helmut,SPD
Klein,Karsten,FDP
Klein,Ottilie,CDU/CSU
Klein,Volkmar,CDU/CSU
Klein-Schmeink,Maria,Bündnis 90/Die Grünen
Kleinwächter,Norbert,AfD
Klinck,Kristian,SPD
Klingbeil,Lars,SPD
Klöckner,Julia,CDU/CSU
Klose,Annika,SPD
Kluckert,Daniela,FDP
Klüssendorf,Tim,SPD
Knoerig,Axel,CDU/CSU
Kober,Pascal,FDP
Köhler,Lukas,FDP
König,Anne,CDU/CSU
König,Jörn,AfD
Koeppen,Jens,CDU/CSU
Körber,Carsten,CDU/CSU
Kofler,Bärbel,SPD
Komning,Enrico,AfD
Konrad,Carina,FDP
Koob,Markus,CDU/CSU
Kopf,Chantal,Bündnis 90/Die Grünen
Korte,Jan,Die Linke
Koß,Simona,SPD
Kotré,Steffen,AfD
Krämer,Philip,Bündnis 90/Die Grünen
Kraft,Laura,Bündnis 90/Die Grünen
Kraft,Rainer,AfD
Kramme,Anette,SPD
Kramp-Karrenbauer,Annegret,CDU/CSU
Kreiser,Dunja,SPD
Krichbaum,Gunther,CDU/CSU
Krings,Günter,CDU/CSU
Krischer,Oliver,Bündnis 90/Die Grünen
Kröber,Martin,SPD
Kruse,Michael,FDP
Kuban,Tilman Moritz,CDU/CSU
Kubicki,Wolfgang,FDP
Kühn ,Christian,Bündnis 90/Die Grünen
Kühnert,Kevin,SPD
Künast,Renate,Bündnis 90/Die Grünen
Kuhle,Konstantin,FDP
Kurth,Markus,Bündnis 90/Die Grünen
Lahrkamp,Sarah,SPD
Lambsdorff,Alexander Graf,FDP
Lang,Ricarda,Bündnis 90/Die Grünen
Lange,Ulrich,CDU/CSU
Larem,Andreas,SPD
Laschet,Armin,CDU/CSU
Latendorf,Ina,Die Linke
Launert,Silke,CDU/CSU
Lauterbach,Karl,SPD
Lay,Caren,Die Linke
Lechte,Ulrich,FDP
Lehmann,Jens,CDU/CSU
Lehmann,Sven,Bündnis 90/Die Grünen
Lehmann,Sylvia,SPD
Lehrieder,Paul,CDU/CSU
Leikert,Katja,CDU/CSU
Leiser,Kevin,SPD
Lemke,Steffi,Bündnis 90/Die Grünen
Lenders,Jürgen,FDP
Lenk,Barbara,AfD
Lenkert,Ralph,Die Linke
Lenz,Andreas,CDU/CSU
Leye,Christian,Die Linke
Licina-Bode,Luiza,SPD
Lieb,Thorsten,FDP
Liebert,Anja,Bündnis 90/Die Grünen
Limbacher,Esra-Leon,SPD
Limburg,Helge,Bündnis 90/Die Grünen
Lindemann,Lars,FDP
Lindh,Helge,SPD
Lindholz,Andrea,CDU/CSU
Lindner,Christian,FDP
Lindner,Tobias,Bündnis 90/Die Grünen
Link,Michael Georg,FDP
Linnemann,Carsten,CDU/CSU
Lips,Patricia,CDU/CSU
Lötzsch,Gesine,Die Linke
Loop,Denise,Bündnis 90/Die Grünen
Loos,Bernhard,CDU/CSU
Lucassen,Rüdiger,AfD
Lucks,Max,Bündnis 90/Die Grünen
Luczak,Jan-Marco,CDU/CSU
Ludwig,Daniela,CDU/CSU
Lührmann,Anna,Bündnis 90/Die Grünen
Lütke,Kristine,FDP
Lugk,Bettina,SPD
Luksic,Oliver,FDP
Lutze,Thomas,Die Linke
Maas,Heiko,SPD
Machalet,Tanja,SPD
Mack,Klaus,CDU/CSU
Mackensen-Geis,Isabel,SPD
Magwas,Yvonne,CDU/CSU
Malottki,Erik von,SPD
Mann,Holger,SPD
Mansmann,Till,FDP
Mansoori,Kaweh,SPD
Martens,Zanda,SPD
Martin,Dorothee,SPD
Marvi,Parsa,SPD
Mascheck,Franziska,SPD
Mast,Katja,SPD
Mattfeldt,Andreas,CDU/CSU
Mayer ,Stephan,CDU/CSU
Mayer,Zoe,Bündnis 90/Die Grünen
Mayer-Lay,Volker,CDU/CSU
Mehltretter,Andreas,SPD
Mehmet Ali,Takis,SPD
Meiser,Pascal,Die Linke
Meister,Michael,CDU/CSU
Menge,Susanne,Bündnis 90/Die Grünen
Merten,Anikó,FDP
Merz,Friedrich,CDU/CSU
Mesarosch,Robin,SPD
Metzler,Jan,CDU/CSU
Meyer,Christoph,FDP
Miazga,Corinna,AfD
Michaelsen,Swantje Henrike,Bündnis 90/Die Grünen
Michel,Kathrin,SPD
Middelberg,Mathias,CDU/CSU
Miersch,Matthias,SPD
Mieves,Matthias David,SPD
Mihalic,Irene,Bündnis 90/Die Grünen
Mijatović,Boris,Bündnis 90/Die Grünen
Mittag,Susanne,SPD
Möhring,Cornelia,Die Linke
Möller,Siemtje,SPD
Mörseburg,Maximilian,CDU/CSU
Mohamed Ali,Amira,Die Linke
Mohrs,Falko,SPD
Moll,Claudia,SPD
Moncsek,Mike,AfD
Monstadt,Dietrich,CDU/CSU
Moosdorf,Matthias,AfD
Mordhorst,Maximilian,FDP
Müller,Alexander,FDP
Müller,Axel,CDU/CSU
Müller,Bettina,SPD
Müller ,Carsten,CDU/CSU
Müller,Claudia,Bündnis 90/Die Grünen
Müller ,Detlef,SPD
Müller,Florian,CDU/CSU
Müller,Michael,SPD
Müller,Sascha,Bündnis 90/Die Grünen
Müller,Sepp,CDU/CSU
Müller ,Stefan,CDU/CSU
Müller-Gemmeke,Beate,Bündnis 90/Die Grünen
Müller-Rosentritt,Frank,FDP
Müntefering,Michelle,SPD
Münzenmaier,Sebastian,AfD
Mützenich,Rolf,SPD
Nacke,Stefan,CDU/CSU
Nanni,Sara,Bündnis 90/Die Grünen
Nasr,Rasha,SPD
Nastic,Zaklin,Die Linke
Naujok,Edgar,AfD
Nestle,Ingrid,Bündnis 90/Die Grünen
Nick,Ophelia,Bündnis 90/Die Grünen
Nickholz,Brian,SPD
Nicolaisen,Petra,CDU/CSU
Nietan,Dietmar,SPD
Nolte,Jan Ralf,AfD
Notz,Konstantin von,Bündnis 90/Die Grünen
Nouripour,Omid,Bündnis 90/Die Grünen
Nürnberger,Jörg,SPD
Oehl,Lennard,SPD
Oellers,Wilfried,CDU/CSU
Özdemir,Cem,Bündnis 90/Die Grünen
Özdemir ,Mahmut,SPD
Özoğuz,Aydan,SPD
Oppelt,Moritz,CDU/CSU
Ortleb,Josephine,SPD
Oßner,Florian,CDU/CSU
Oster,Josef,CDU/CSU
Otte,Henning,CDU/CSU
Otte,Karoline,Bündnis 90/Die Grünen
Otten,Gerold,AfD
Pahlke,Julian,Bündnis 90/Die Grünen
Pantazis,Christos,SPD
Papenbrock,Wiebke,SPD
Papendieck,Mathias,SPD
Pau,Petra,Die Linke
Paus,Lisa,Bündnis 90/Die Grünen
Pawlik,Natalie,SPD
Peick,Jens,SPD
Pellmann,Sören,Die Linke
Perli,Victor,Die Linke
Peterka,Tobias Matthias,AfD
Petry,Christian,SPD
Philippi,Andreas,SPD
Piechotta,Paula,Bündnis 90/Die Grünen
Pilsinger,Stephan,CDU/CSU
Plobner,Jan,SPD
Ploß,Christoph,CDU/CSU
Plum,Martin,CDU/CSU
Pohl,Jürgen,AfD
Polat,Filiz,Bündnis 90/Die Grünen
Poschmann,Sabine,SPD
Post ,Achim,SPD
Protschka,Stephan,AfD
Rachel,Thomas,CDU/CSU
Radomski,Kerstin,CDU/CSU
Radwan,Alexander,CDU/CSU
Rainer,Alois,CDU/CSU
Ramsauer,Peter,CDU/CSU
Redder,Volker,FDP
Rehbaum,Henning,CDU/CSU
Reichardt,Martin,AfD
Reichel,Markus,CDU/CSU
Reichinnek,Heidi,Die Linke
Reinalter,Anja,Bündnis 90/Die Grünen
Reinhold,Hagen,FDP
Renner,Martin Erwin,AfD
Renner,Martina,Die Linke
Reuther,Bernd,FDP
Rhie,Ye-One,SPD
Rief,Josef,CDU/CSU
Riexinger,Bernd,Die Linke
Rimkus,Andreas,SPD
Rinck,Frank,AfD
Rix,Sönke,SPD
Rößner,Tabea,Bündnis 90/Die Grünen
Röttgen,Norbert,CDU/CSU
Röwekamp,Thomas,CDU/CSU
Rohde,Dennis,SPD
Rohwer,Lars,CDU/CSU
Roloff,Sebastian,SPD
Rosemann,Martin,SPD
Rosenthal,Jessica,SPD
Roth ,Claudia,Bündnis 90/Die Grünen
Roth ,Michael,SPD
Rottmann,Manuela,Bündnis 90/Die Grünen
Rouenhoff,Stefan,CDU/CSU
Rudolph,Thorsten,SPD
Rudolph,Tina,SPD
Rüddel,Erwin,CDU/CSU
Rüffer,Corinna,Bündnis 90/Die Grünen
Rützel,Bernd,SPD
Rupprecht,Albert,CDU/CSU
Ryglewski,Sarah,SPD
Saathoff,Johann,SPD
Sacher,Michael,Bündnis 90/Die Grünen
Saleh,Kassem Taher,Bündnis 90/Die Grünen
Santos Firnhaber,Catarina dos,CDU/CSU
Sattelberger,h. c. Thomas,FDP
Sauter,Christian,FDP
Schäfer ,Axel,SPD
Schäfer,Ingo,SPD
Schäfer,Jamila,Bündnis 90/Die Grünen
Schäfer,Sebastian,Bündnis 90/Die Grünen
Schäffler,Frank,FDP
Schätzl,Johannes,SPD
Schäuble,Wolfgang,CDU/CSU
Schamber,Rebecca,SPD
Schattner,Bernd,AfD
Schauws,Ulle,Bündnis 90/Die Grünen
Scheer,Nina,SPD
Schenderlein,Christiane,CDU/CSU
Scheuer,Andreas,CDU/CSU
Schieder,Marianne,SPD
Schiefner,Udo,SPD
Schielke-Ziesing,Ulrike,AfD
Schierenbeck,Peggy,SPD
Schimke,Jana,CDU/CSU
Schisanowski,Timo,SPD
Schmid,Christoph,SPD
Schmid,Nils,SPD
Schmidt ,Dagmar,SPD
Schmidt,Eugen,AfD
Schmidt,Jan Wenzel,AfD
Schmidt,Stefan,Bündnis 90/Die Grünen
Schmidt,Uwe,SPD
Schneider ,Carsten,SPD
Schneider,Daniel,SPD
Schneider,Jörg,AfD
Schnieder,Patrick,CDU/CSU
Schönberger,Marlene,Bündnis 90/Die Grünen
Scholz,Olaf,SPD
Schraps,Johannes,SPD
Schreider,Christian,SPD
Schreiner,Felix,CDU/CSU
Schrodi,Michael,SPD
Schröder,Christina-Johanne,Bündnis 90/Die Grünen
Schröder,Ria,FDP
Schulz,Anja,FDP
Schulz,Uwe,AfD
Schulz-Asche,Kordula,Bündnis 90/Die Grünen
Schulze,Svenja,SPD
Schwabe,Frank,SPD
Schwartze,Stefan,SPD
Schwarz,Andreas,SPD
Schwarz,Armin,CDU/CSU
Schwarzelühr-Sutter,Rita,SPD
Seestern-Pauly,Matthias,FDP
Seidler,Stefan,fraktionslos
Seif,Detlef,CDU/CSU
Seiter,Stephan,FDP
Seitz,Thomas,AfD
Seitzl,Lina,SPD
Sekmen,Melis,Bündnis 90/Die Grünen
Semet,Rainer,FDP
Sichert,Martin,AfD
Silberhorn,Thomas,CDU/CSU
Simon,Björn,CDU/CSU
Sitte,Petra,Die Linke
Skudelny,Judith,FDP
Slawik,Nyke,Bündnis 90/Die Grünen
Sorge,Tino,CDU/CSU
Spahn,Jens,CDU/CSU
Spallek,Anne Monika,Bündnis 90/Die Grünen
Spaniel,Dirk,AfD
Spellerberg,Merle,Bündnis 90/Die Grünen
Springer,René,AfD
Stadler,Svenja,SPD
Staffler,Katrin,CDU/CSU
Stahr,Nina,Bündnis 90/Die Grünen
Stamm-Fibich,Martina,SPD
Stark-Watzinger,Bettina,FDP
Steffen,Till,Bündnis 90/Die Grünen
Stefinger,Wolfgang,CDU/CSU
Stegemann,Albert,CDU/CSU
Stegner,Ralf,SPD
Stein,Mathias,SPD
Steiniger,Johannes,CDU/CSU
Steinmüller,Hanna,Bündnis 90/Die Grünen
Stetten,Christian Freiherr von,CDU/CSU
Sthamer,Nadja,SPD
Stier,Dieter,CDU/CSU
Stockmeier,Konrad,FDP
Stöber,Klaus,AfD
Stöcker,Diana,CDU/CSU
Storch,Beatrix von,AfD
Storjohann,Gero,CDU/CSU
Strack-Zimmermann,Marie-Agnes,FDP
Stracke,Stephan,CDU/CSU
Strasser,Benjamin,FDP
Straubinger,Max,CDU/CSU
Strengmann-Kuhn,Wolfgang,Bündnis 90/Die Grünen
Stüwe,Ruppert,SPD
Stumpp,Christina,CDU/CSU
Tatti,Jessica,Die Linke
Tausend,Claudia,SPD
Tebroke,Hermann-Josef,CDU/CSU
Tesfaiesus,Awet,Bündnis 90/Die Grünen
Teuteberg,Linda,FDP
Teutrine,Jens,FDP
Theurer,Michael,FDP
Thews,Michael,SPD
Thies,Hans-Jürgen,CDU/CSU
Thomae,Stephan,FDP
Throm,Alexander,CDU/CSU
Tillmann,Antje,CDU/CSU
Timmermann-Fechter,Astrid,CDU/CSU
Tippelt,Nico,FDP
Todtenhausen,Manfred,FDP
Töns,Markus,SPD
Toncar,Florian,FDP
Träger,Carsten,SPD
Trittin,Jürgen,Bündnis 90/Die Grünen
Troff-Schaffarzyk,Anja,SPD
Türk-Nachbaur,Derya,SPD
Uhlig,Katrin,Bündnis 90/Die Grünen
Ullmann,Andrew,FDP
Ullrich,Frank,SPD
Ullrich,Gerald,FDP
Ullrich,Volker,CDU/CSU
Ulrich,Alexander,Die Linke
Verlinden,Julia,Bündnis 90/Die Grünen
Vieregge,Kerstin,CDU/CSU
Völlers,Marja-Liisa,SPD
Vöpel,Dirk,SPD
Vogel ,Johannes,FDP
Vogler,Kathrin,Die Linke
Vogt,Oliver,CDU/CSU
Vries,Christoph de,CDU/CSU
Wadephul,Johann David,CDU/CSU
Wagener,Niklas,Bündnis 90/Die Grünen
Wagener,Robin,Bündnis 90/Die Grünen
Wagenknecht,Sahra,Die Linke
Wagner,Carolin,SPD
Wagner,Johannes,Bündnis 90/Die Grünen
Wallstein,Maja,SPD
Walter,Hannes,SPD
Wanderwitz,Marco,CDU/CSU
Warken,Nina,CDU/CSU
Weeser,Sandra,FDP
Wegge,Carmen,SPD
Wegling,Melanie,SPD
Weidel,Alice,AfD
Weingarten,Joe,SPD
Weisgerber,Anja,CDU/CSU
Weishaupt,Saskia,Bündnis 90/Die Grünen
Weiss,Maria-Lena,CDU/CSU
Weiss ,Sabine,CDU/CSU
Wenzel,Stefan,Bündnis 90/Die Grünen
Werner,Lena,SPD
Westig,Nicole,FDP
Westphal,Bernd,SPD
Weyel,Harald,AfD
Whittaker,Kai,CDU/CSU
Widmann-Mauz,Annette,CDU/CSU
Wiehle,Wolfgang,AfD
Wiener,Klaus,CDU/CSU
Wiese,Dirk,SPD
Willsch,Klaus-Peter,CDU/CSU
Winkelmeier-Becker,Elisabeth,CDU/CSU
Winkler,Tobias,CDU/CSU
Winklmann,Tina,Bündnis 90/Die Grünen
Wirth,Christian,AfD
Wissing,Volker,FDP
Wißler,Janine,Die Linke
Witt,Uwe,AfD
Wittmann,Mechthilde,CDU/CSU
Wollmann,Herbert,SPD
Wulf,Mareike Lotte,CDU/CSU
Wundrak,Joachim,AfD
Yüksel,Gülistan,SPD
Zeulner,Emmi,CDU/CSU
Ziegler,Kay-Uwe,AfD
Ziemiak,Paul,CDU/CSU
Zierke,Stefan,SPD
Zimmermann,Jens,SPD
Zippelius,Nicolas,CDU/CSU
Zorn,Armand,SPD
Zschau,Katrin,SPD
